QKEY,NEW_Device_Type_W19,LANGUAGE_W19,ONLSELL1_W19,ONLSELL2_A_W19,ONLSELL2_B_W19,ONLSELL2_C_W19,ONLSELL2_D_W19,ONLSELL2REF_W19,ONLSELL3_W19,ONLSELL4_W19,GIGWORK1_W19,RIDESHR_W19,GIGWORK2_A_W19,GIGWORK2_B_W19,GIGWORK2_C_W19,GIGWORK2_D_W19,GIGWORK2_E_W19,GIGWORK2REF_W19,GIGWORK3_W19,GIGWORK4_A_W19,GIGWORK4_B_W19,GIGWORK4_C_W19,GIGWORK4_D_W19,GIGWORK4_E_W19,GIGWORK4_F_W19,GIGWORK4REF_W19,GIGWORK5_W19,GIGWORK6_W19,HOMESHR1_W19,HOMESHR2_A_W19,HOMESHR2_B_W19,HOMESHR2_C_W19,HOMESHR2_D_W19,HOMESHR2_E_W19,HOMESHR2REF_W19,HOMESHR3_W19,INCCOUNT_W19,EXTRAINC_A_W19,EXTRAINC_B_W19,EXTRAINC_C_W19,EXTRAINC_D_W19,EXTRAINC_E_W19,EXTRAINCREF_W19,THOUGHTA_W19,VOTEGEN_W19,VOTEGEN2_W19,VOTEGEN3_W19,CAMPFEEL_1_W19,CAMPFEEL_2_W19,CAMPFEEL_3_W19,CAMPFEEL_4_W19,CAMPFEEL_5_W19,CAMPFEEL_6_W19,CAMPFEEL_7_W19,CAMPFEEL_8_W19,CAMPFEELREF_W19,WHOWIN_W19,CIVIC_ENG_ACTMOD_A_W19,CIVIC_ENG_ACTMOD_C_W19,CIVIC_ENG_ACTMOD_D_W19,CIVIC_ENG_ACTMOD_G_W19,CIVIC_ENG_ACTMOD_H_W19,CIVIC_ENG_ACTMOD_I_W19,CIVIC_ENG_ACTMOD_J_W19,CIVIC_ENG_ACTMOD_K_W19,CIVIC_ENG_ACTMODREF_W19,QBELIEF1_W19,POLNEWSSNSINT_W19,TALKPOLSNSINT_W19,SNSINT_A_W19,SNSINT_B_W19,SNSINT_C_W19,SNSINT_D_W19,SNSINTREF_W19,FBKNOW_W19,TWKNOW_W19,IGKNOW_W19,FBPOST1_W19,TWPOST1_W19,IGPOST1_W19,FBPOST2_W19,TWPOST2_W19,IGPOST2_W19,QBELIEF2_W19,QBELIEF3_W19,QBELIEF4_W19,ELECTFTGSNSINT_W19,TALKDISASNSINT_W19,TALKCMNSNSINT_W19,QUAL1_W19,QUAL2_W19,QUAL3_W19,QUAL4_W19,QUAL5_W19,QUAL6_W19,QUAL7_W19,QIMPACTA_W19,QIMPACTB_W19,QIMPACTC_W19,QIMPACTD_W19,QIMPACTE_W19,QCHANGE1_W19,QCHANGE3_W19,QCHANGE5_W19,QDISAGREE1_W19,RESPONSE_EXP_W19,QDISAGREE2_W19,QDISAGREE3_W19,QDISAGREE4_A_W19,QDISAGREE4_B_W19,QDISAGREE4_C_W19,QDISAGREE4_D_W19,QDISAGREE4_E_W19,QFOLLOW1_W19,QFOLLOW2_W19,QFOLLOW3_A_W19,QFOLLOW3_B_W19,QFOLLOW3_C_W19,QFOLLOW3_D_W19,QFOLLOW3_E_W19,QFOLLOW3REF_W19,TENURE_W19,F_CREGION_FINAL,F_AGECAT_FINAL,F_SEX_FINAL,F_EDUCCAT_FINAL,F_EDUCCAT2_FINAL,F_HISP_RECRUITMENT,F_RACECMB_RECRUITMENT,F_RACETHN_RECRUITMENT,F_CITIZEN_RECODE_RECRUITMENT,F_MARITAL_FINAL,F_RELIG_FINAL,F_BORN_FINAL,F_ATTEND_FINAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME_FINAL,F_INCOME_RECODE_FINAL,F_REG_FINAL,F_IDEO_FINAL,F_IDEOCONSISTREC_RECRUITMENT,F_INTUSER_FINAL,F_INSURANCE_FINAL,F_INT_FREQ1_FINAL,F_INT_FREQCOMB_FINAL,F_SNSUSER_FINAL,F_BBINT_RF1,WEIGHT_W19
100637,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,0,0,0,0, ,1,1,1, ,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,1, ,1,2,2,1,0,0,0, ,1, , ,1, , ,3, , ,1, , ,2,2,2,2,3,3,1,2,2,2,2,2,3,2,3,2,2,2,1,2,2,2, , , , , ,2, , , , , , , ,6,3,3,2,2,4,2,1,1,1,1,1,1,1,3,1,1,4,2,1,1,4,1,1,1,4,1,2,0.5459064
100803,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,0,1,0,0,0,0, ,2,99, ,3,0,0,0,0,1,1,1,0, ,2,0,0,0,0,0,0,0,1, ,1,3,4,1,0,0,0, ,1, , ,4, , ,4, , ,1, , ,2,2,2,2,2,3,1,3,2,3,1,2,2,2,3,2,2,2,1,2,2,2, , , , , ,2, , , , , , , ,6,2,3,2,1,5,2,1,1,1,1,1,1,2,1, ,1,7,1,1,2,3,1,1,2,5,1,1,0.756385
101224,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,3,1,0,0,0,0, ,1,1,1, ,1,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0,1, ,1,2,4,0,0,0,0,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , ,6,3,4,1,3,2,2,1,1,1,1,1,1,1,1, ,1,5,2,1,3,4,1,1,1,3,1,1,0.2250213
101322,1,9,1,1,0,0,0, ,2,3,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,0,0,1,0,0, ,3,1,1, ,0,0,0,0,1,0,0,0, ,1,0,0,0,0,0,0,0,1, ,3,4,4,1,0,0,0, ,3, , ,3, , ,4, , ,3, , ,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,1,1,2,1,2,0,1,0,0,0,2, , , , , , , ,4,3,2,1,3,1,2,1,1,1,6,12,2,6,1, ,1,5,2,3,2,4,1,1,1,2,1,1,2.6054701
101400,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,0,0,0,0,1, ,1,2,1, ,1,1,0,0,1,1,1,0, ,2,0,0,0,0,1,0,0,0, ,1,2,2,1,1,0,0, ,1,2, ,3,2, ,2,4, ,3,1, ,3,2,2,3,3,2,3,3,3,3,2,2,2,2,3,2,2,1,1,2,2,1,0,0,1,0,0,1,1, , , , , , ,6,2,3,2,1,5,2,1,1,1,6,9, ,6,2, ,2,6,2,1,5,1,1,1,1,2,1,1,0.3644613
101437,3,9,2, , , , , , , ,1, ,0,0,1,0,0, ,3,0,0,0,1,0,0, ,2,2,2, , , , , , , ,1,0,0,0,0,1, ,1,1,1, ,0,0,0,0,1,0,1,0, ,1,0,0,0,0,0,0,0,1, ,1,1,3,1,0,0,0, ,1, , ,1, , ,3, , ,3, , ,2,2,2,3,2,3,3,2,3,2,2,2,1,2,2,2,2,1,1,2,2,2, , , , , ,2, , , , , , , ,6,2,3,2,2,3,2,1,1,1,3,1,1,5,1, ,1,2,3,1,2,4,1,1,1,3,1,1,0.5112597
101443,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,0,0,0,0,1, ,1,1,1, ,1,0,0,0,1,1,1,0, ,2,1,0,1,0,0,0,1,0, ,3,2,3,1,0,0,0, ,1, , ,1, , ,3, , ,1, , ,1,1,2,1,3,3,3,1,2,2,2,2,3,2,3,2,2,2,1,1,2,2, , , , , ,2, , , , , , , ,2,4,2,1,1,6,2,1,1,1,1,3,2,2,1, ,1,7,1,1,2,5,1,1,1,2,1,1,0.2855162
101472,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,3,0,0,0,0,1, ,2,3, ,1,0,0,0,0,1,0,0,0, ,1,0,0,0,0,0,0,0,1, ,3,1,4,1,1,0,1, ,1,2, ,2,1, ,4,4, ,3,3, ,1,1,2,1,2,3,3,3,1,3,2,1,2,2,2,1,2,2,1,1,2,2, , , , , ,2, , , , , , , ,4,4,2,1,1,6,2,1,1,1,6,2,2,5,3,1,1,6,2,1,3,4,1,1,1,1,1,1,0.1635575
101485,1,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,3,0,0,0,0,1, ,3,3, ,1,0,0,0,0,0,0,1,0, ,2,0,0,0,0,0,0,0,1, ,1,1,4,1,1,1,0, ,1,3,3,2,2,2,4,4,4,1,4,4,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,99,2,1,1,2,2, , , , , ,2, , , , , , , ,6,4,3,2,2,3,2,4,4,1,5,13,2,2,1, ,1,7,1,1,2,3,1,1,1,1,1,1,0.402229
101493,1,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,0,0,0,0, ,1,1,1, ,0,0,0,0,0,0,1,0, ,1,0,0,0,0,0,0,0,1, ,1,1,1,1,0,0,0, ,3, , ,1, , ,1, , ,1, , ,2,2,2,3,3,2,1,2,1,2,1,1,3,1,1,2,2,1,2,2,1,1,1,0,1,1,0,2, , , , , , , ,6,4,3,1,2,3,1,1,3,1,1,2,2,6,1, ,1,5,2,1,2,3,1,1,1,2,1,1,0.7370859
102009,1,9,1,0,0,0,1, ,1,3,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,0,0,0,0, ,1,2,1, ,0,0,0,0,1,1,1,0, ,2,0,1,0,1,1,0,1,0, ,3,2,2,1,0,0,1, ,3, , ,2, , ,2, , ,3, , ,2,2,2,2,2,2,1,2,2,2,1,3,2,3,3,1,2,1,1,2,1,1,1,1,1,0,0,2, , , , , , , ,6,3,3,1,2,3,2,1,1,1,1,12, ,6,2, ,2,8,1,1,4,1,1,1,1,1,1,1,0.1033596
102198,1,9,1,1,0,0,0, ,3,1,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,0,0,0,0,1, ,1,1,1, ,1,0,0,0,1,1,1,0, ,1,0,0,0,0,0,0,0,0,99,3,2,3,1,0,1,0, ,1, ,1,1, ,3,2, ,4,3, ,4,2,2,2,2,2,1,1,2,2,1,1,3,2,3,3,2,2,2,1,1,2,2, , , , , ,2, , , , , , , ,6,1,1,2,2,3,2,1,1,1,6,1,1,1,1, ,1,7,1,1,1,4,1,1,1,1,1,1,1.026179
102351,5,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,0,0,0,0, ,1,1,1, ,0,1,0,0,0,0,0,0, ,1,0,0,0,1,1,1,1,0, ,1,1,3,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,2,3,2,1,1,1,1,1,1,4,1, ,1,5,2,1,2,3,1,1,2,5,2,2,0.5771404
102352,1,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,0,0,0,0,1, ,1,2,1, ,1,0,1,0,1,0,0,0, ,2,0,0,0,0,0,0,1,0, ,1,1,2,1,1,0,0, ,1,1, ,2,2, ,3,3, ,3,1, ,1,1,2,3,3,3,1,2,3,2,2,2,2,1,2,2,1,1,2,1,2,2, , , , , ,2, , , , , , , ,4,4,2,1,1,5,1,5,3,2,1,12, ,5,3,2,2,6,2,1,4,3,1,1,1,3,1,1,1.3415688
102584,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,3,0,0,0,0,1, ,1,2,1, ,1,0,0,0,1,1,1,0, ,2,0,0,0,0,1,1,0,0, ,1,2,3,1,0,0,0, ,3, , ,2, , ,4, , ,3, , ,1,2,1,2,2,2,3,3,3,2,1,2,2,2,1,2,2,2,1,2,2,2, , , , , ,1,3,1,1,0,0,0, ,6,2,4,1,2,3,2,1,1,1,5,1,2,5,2, ,2,4,2,1,3,1,1,1,1,3,1,1,0.2673272
102767,5,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,0,0,0,0, ,2,1,1, ,1,0,0,0,1,0,0,0, ,1,0,0,0,0,0,0,0,1, ,3,4,4,0,0,0,0,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,2,4,2,1,1,1,1,1,1,2,1, ,1,6,2,1,2,3,0,1,6,9,2,1,0.4416826
102782,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,0,0,0,1,0, ,1,2,1,0,0,0,0, ,2,3, ,2,1,0,0,0,1,1,1,0, ,2,0,0,0,1,0,0,0,0, ,3,2,3,1,0,0,0, ,1, , ,3, , ,4, , ,3, , ,2,1,2,2,2,3,3,3,2,2,1,3,2,2,3,2,2,2,1,2,2,2, , , , , ,2, , , , , , , ,6,3,3,2,1,6,2,9,9,1,1,1,1,6,3,2,2,99,99,1,3,2,1,1,1,3,1,1,0.2919741
102932,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,0,0,0,0, ,1,2,1, ,0,0,0,0,0,0,1,0, ,2,1,1,1,1,1,1,1,0, ,3,1,1,1,0,0,0, ,2, , ,2, , ,2, , ,3, , ,3,2,2,1,1,1,2,1,3,1,2,3,1,2,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1, , , , , , ,6,3,4,1,1,6,2,1,1,1,1,12, ,6,2, ,2,9,1,1,5,2,1,1,1,2,1,1,0.0838117
103060,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,0,1,0,0,0,0, ,1,2,1, ,0,0,0,0,1,1,1,0, ,2,0,0,0,1,0,0,0,0, ,3,4,4,0,0,0,0,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , ,6,3,4,2,2,4,2,1,1,1,1,2,2,2,2, ,2,8,1,1,3,3,1,1,1,3,1,1,0.215158
103242,2,9,2, , , , , , , ,2,99, , , , , , , , , , , , , , , , ,99, , , , , , , ,99,0,0,0,0,1, ,2,2,2, ,0,0,0,1,0,0,0,0, ,2,0,0,0,0,0,0,0,0,99,4,2,4,1,0,0,0, ,1, , ,99, , ,2, , ,3, , ,3,2,2,3,1,3,3,3,1,3,3,2,3,2,3,1,99,1,2,1,2,2, , , , , ,2, , , , , , , ,6,2,4,2,3,2,2,1,1,1,5,1,2,5,1, ,1,99,99,1,3,3,1,1,1,4,1,1,0.8444182
103256,2,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,3,0,0,0,0,1, ,1,3, ,1,1,0,0,0,0,1,0,0, ,1,0,0,0,0,0,0,0,1, ,3,4,4,0,0,0,0,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , ,6,4,4,1,1,5,2,1,1,1,3,1,2,5,3,1,1,8,1,1,3,4,1,1,1,3,2,1,0.3874945
103379,5,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,4,1,0,0,0,0, ,1,1,1, ,0,0,0,0,0,0,1,0, ,1,0,0,1,1,1,0,0,0, ,1,2,3,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,1,2,3,2,1,1,1,1,1,1,2,3,1,1,9,1,1,2,5,1,1,2,5,1,1,0.2962571
103406,1,9,1,1,0,0,0, ,3,1,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,0,0,0,0, ,2,2,1, ,0,0,0,0,1,1,1,0, ,2,0,0,0,0,0,0,1,0, ,3,1,3,1,0,0,0, ,1, , ,1, , ,3, , ,2, , ,2,2,1,2,2,3,1,3,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1, , , , , , ,6,3,2,2,1,6,2,1,1,1,1,2,2,3,2, ,2,7,1,1,3,3,1,1,1,1,1,1,0.4020205
103414,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,0,1,0,0,0,0, ,1,2,2, ,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,1, ,3,4,4,1,0,0,1, ,1, , ,2, , ,4, , ,3, , ,2,2,2,3,3,2,3,3,2,2,1,3,3,3,3,2,2,1,1,1,2,2, , , , , ,2, , , , , , , ,6,3,2,2,1,5,2,1,1,1,1,12,2,5,2, ,2,6,2,1,5,1,1,1,2,5,1,1,2.5714937
103519,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,0,0,0,0,1, ,1,2,2, ,0,0,0,0,1,1,1,0, ,2,0,0,0,0,0,0,0,1, ,3,1,4,0,0,0,1, , , , , , , , , , , , , ,3,2,2,3,3,3,3,3,3,3,2,1,2,1,3,2,2,2,1,2,2,2, , , , , ,2, , , , , , , ,6,2,3,1,1,6,2,1,1,1,1,2,2,2,3,1,1,9,1,1,3,3,1,1,1,2,1,1,0.1834503
103538,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,0,0,0,0, ,2,1,1, ,0,0,0,0,0,1,0,0, ,1,0,0,0,0,0,1,1,0, ,2,4,4,0,0,0,0,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , ,5,4,3,1,1,5,2,1,1,1,1,2,2,5,3,2,2,9,1,1,3,2,1,1,2,5,2,2,1.1617454
103611,3,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,2,0,0,0,0,1, ,1,1,2, ,0,0,0,0,0,0,1,0, ,2,0,0,0,1,0,0,0,0, ,3,3,3,1,0,0,0, ,1, , ,2, , ,4, , ,3, , ,2,2,1,1,2,2,2,3,2,3,1,3,2,3,3,2,2,2,1,2,2,2, , , , , ,2, , , , , , , ,6,1,4,2,1,6,2,1,1,1,6,2,2,4,3,1,1,6,2,1,3,3,1,1,1,1,1,1,0.1394646
103677,1,9,2, , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2, , , , , , , ,0,1,0,0,0,0, ,1,1,1, ,0,0,1,0,0,0,0,0, ,1,0,0,0,1,1,0,1,0, ,1,1,2,1,1,1,0, ,3,2,3,1,1,4,2,4,4,3,1,4,1,2,2,2,2,2,1,2,2,1,1,2,3,2,3,2,2,1,1,2,1,1,0,0,1,0,0,1,1, , , , , , ,6,1,2,1,2,3,2,1,1,1,1,2,2,4,4,1,1,9,1,1,1,4,1,1,1,1,1,1,0.3144543
